"","type","floor5x","dwage9x","count","countsamp","conf"
"10408","Mid Floor converted flat","50 to 69 sqm","1965 to 1974",1378,1,1378
"3075","Mid Floor purpose built flat, high rise","50 to 69 sqm","pre 1850",1877,1,1877
"12345","Mid Floor purpose built flat, high rise","50 to 69 sqm","1900 to 1918",1255,1,1255
"9991","Mid Floor purpose built flat, high rise","70 to 89 sqm","1900 to 1918",731,1,731
"1981","Mid Floor purpose built flat, high rise","less than 50 sqm","1919 to 1944",15233,5,3046.6
"6271","Mid Floor purpose built flat, high rise","50 to 69 sqm","1919 to 1944",6744,3,2248
"352","Mid Floor purpose built flat, high rise","70 to 89 sqm","1919 to 1944",6718,4,1679.5
"569","Mid Floor purpose built flat, high rise","less than 50 sqm","1945 to 1964",23648,22,1074.90909090909
"355","Mid Floor purpose built flat, high rise","50 to 69 sqm","1945 to 1964",32217,31,1039.25806451613
"552","Mid Floor purpose built flat, high rise","70 to 89 sqm","1945 to 1964",7216,10,721.6
"3583","Mid Floor purpose built flat, high rise","90 to 109 sqm","1945 to 1964",1932,2,966
"220","Mid Floor purpose built flat, high rise","less than 50 sqm","1965 to 1974",32166,37,869.351351351351
"51","Mid Floor purpose built flat, high rise","50 to 69 sqm","1965 to 1974",76402,71,1076.08450704225
"512","Mid Floor purpose built flat, high rise","70 to 89 sqm","1965 to 1974",17115,13,1316.53846153846
"10718","Mid Floor purpose built flat, high rise","90 to 109 sqm","1965 to 1974",3601,2,1800.5
"8069","Mid Floor purpose built flat, high rise","110 sqm or more","1965 to 1974",2532,1,2532
"96","Mid Floor purpose built flat, high rise","less than 50 sqm","1975 to 1980",3691,4,922.75
"891","Mid Floor purpose built flat, high rise","50 to 69 sqm","1975 to 1980",3531,6,588.5
"11525","Mid Floor purpose built flat, high rise","70 to 89 sqm","1975 to 1980",9446,1,9446
"11779","Mid Floor purpose built flat, high rise","less than 50 sqm","1981 to 1990",795,1,795
"1257","Mid Floor purpose built flat, high rise","50 to 69 sqm","1981 to 1990",7254,4,1813.5
"9584","Mid Floor purpose built flat, high rise","70 to 89 sqm","1981 to 1990",1033,1,1033
"264","Mid Floor purpose built flat, high rise","less than 50 sqm","post 1990",30294,14,2163.85714285714
"746","Mid Floor purpose built flat, high rise","50 to 69 sqm","post 1990",46993,19,2473.31578947368
"463","Mid Floor purpose built flat, high rise","70 to 89 sqm","post 1990",27957,14,1996.92857142857
"1526","Mid Floor purpose built flat, high rise","90 to 109 sqm","post 1990",10159,4,2539.75
"7788","Mid Floor purpose built flat, high rise","110 sqm or more","post 1990",1931,1,1931
"7752","Mid Floor purpose built flat, low rise","50 to 69 sqm","pre 1850",1255,1,1255
"3083","Mid Floor purpose built flat, low rise","less than 50 sqm","1850 to 1899",944,1,944
"2782","Mid Floor purpose built flat, low rise","50 to 69 sqm","1850 to 1899",1648,2,824
"438","Mid Floor purpose built flat, low rise","less than 50 sqm","1900 to 1918",6527,4,1631.75
"1238","Mid Floor purpose built flat, low rise","50 to 69 sqm","1900 to 1918",5026,4,1256.5
"6397","Mid Floor purpose built flat, low rise","90 to 109 sqm","1900 to 1918",4278,2,2139
"2003","Mid Floor purpose built flat, low rise","less than 50 sqm","1919 to 1944",9358,10,935.8
"532","Mid Floor purpose built flat, low rise","50 to 69 sqm","1919 to 1944",40717,22,1850.77272727273
"4338","Mid Floor purpose built flat, low rise","70 to 89 sqm","1919 to 1944",7605,5,1521
"529","Mid Floor purpose built flat, low rise","90 to 109 sqm","1919 to 1944",4046,3,1348.66666666667
"153","Mid Floor purpose built flat, low rise","less than 50 sqm","1945 to 1964",35122,24,1463.41666666667
"472","Mid Floor purpose built flat, low rise","50 to 69 sqm","1945 to 1964",86224,66,1306.42424242424
"488","Mid Floor purpose built flat, low rise","70 to 89 sqm","1945 to 1964",24822,15,1654.8
"65","Mid Floor purpose built flat, low rise","less than 50 sqm","1965 to 1974",53439,38,1406.28947368421
"317","Mid Floor purpose built flat, low rise","50 to 69 sqm","1965 to 1974",49870,33,1511.21212121212
"562","Mid Floor purpose built flat, low rise","70 to 89 sqm","1965 to 1974",19365,19,1019.21052631579
"8556","Mid Floor purpose built flat, low rise","90 to 109 sqm","1965 to 1974",405,1,405
"194","Mid Floor purpose built flat, low rise","less than 50 sqm","1975 to 1980",47292,31,1525.54838709677
"408","Mid Floor purpose built flat, low rise","50 to 69 sqm","1975 to 1980",41854,16,2615.875
"543","Mid Floor purpose built flat, low rise","70 to 89 sqm","1975 to 1980",11119,6,1853.16666666667
"12351","Mid Floor purpose built flat, low rise","90 to 109 sqm","1975 to 1980",861,1,861
